Name,F1,Accuracy,Precision,Recall
ada,0.8389549865316784,0.8387067601175673,0.8394384559887881,0.8387043241296572
gbc,0.874320986258307,0.8747456477503956,0.8740689669406376,0.8747427477457018
rfc,0.8709584867740089,0.8714447207777527,0.870679364382977,0.8714417430580692
log,0.8120802519968334,0.8137463260230613,0.8114571652309923,0.8137411049480742
knn,0.8611834180333567,0.862401085236265,0.8611852922022702,0.8623967006736645
mlp,0.8321271826302811,0.8325118697716481,0.8318980067069094,0.8325085974449934
svc,0.8514312027824191,0.8520009043635541,0.8511404913258064,0.8519977445792843
